   tot%      tot#     self%     self#  function
0.00000         4   0.00000         1                                                      "deparse"
0.00000         2   0.00000         1                                                        "%in%"
0.00000         1   0.00000         0                                                          "match"
0.00000         1   0.00000         0                                                ".deparseOpts"
0.00001         7   0.00000         2                                              "paste"
0.00000         6   0.00000         4                                                "conditionMessage"
0.00000         4   0.00000         0                                                  "conditionMessage.condition"
0.00000         2   0.00000         2                                              "conditionMessage"
0.00000         2   0.00000         0                                                "conditionMessage.condition"
0.00000         2   0.00000         1                                              "structure"
0.00000         1   0.00000         0                                                "%in%"
0.00000         1   0.00000         1                                              "conditionCall"
0.00000         1   0.00000         0                                                "conditionCall.condition"
0.00003        33   0.00001         7                                            "doTryCatch"
0.00002        28   0.00001        18                                              "solve"
0.00002        21   0.00000         3                                                "solve.default"
0.00000         2   0.00000         0                                                  "diag"
0.00000         1   0.00000         0                                                  "colnames"
0.00000         6   0.00000         1                                            "simpleError"
0.00000         1   0.00000         0                                              "structure"
0.00004        51   0.00001         7                                    "pseudoinverse"
0.00003        45   0.00001         8                                      "fast.svd"
0.00003        38   0.00002        22                                        "positive.svd"
0.00002        30   0.00001         8                                          "svd"
0.00001         8   0.00000         0                                            "La.svd"
0.00000         5   0.00000         0                                    "print"
0.00008       102   0.00000         6                                  "dmvnormPseudoinverse"
0.00004        50   0.00000         2                                    "isSymmetric"
0.00004        49   0.00001        12                                      "isSymmetric.matrix"
0.00004        47   0.00000         6                                        "all.equal"
0.00003        35   0.00000         1                                          "all.equal.numeric"
0.00002        29   0.00000         4                                            "attr.all.equal"
0.00002        25   0.00000         2                                              "all.equal"
0.00002        23   0.00000         5                                                "all.equal.list"
0.00001        16   0.00000         4                                                  "all.equal"
0.00001        11   0.00000         5                                                    "all.equal.list"
0.00001         8   0.00000         2                                                      "all.equal"
0.00000         4   0.00000         2                                                        "all.equal.character"
0.00000         1   0.00000         0                                                          "attr.all.equal"
0.00000         1   0.00000         0                                                          "data.class"
0.00000         1   0.00000         0                                                      "attr.all.equal"
0.00000         3   0.00000         1                                                    "all.equal.numeric"
0.00000         1   0.00000         0                                                      "attr.all.equal"
0.00000         5   0.00000         1                                                  "attr.all.equal"
0.00000         2   0.00000         1                                                    "all.equal.character"
0.00000         1   0.00000         0                                                      "attr.all.equal"
0.00000         2   0.00000         0                                              "mode"
0.00000         1   0.00000         0                                              "order"
0.00000         1   0.00000         1                                                "unlist"
0.00000         1   0.00000         0                                                  "lapply"
0.00003        38   0.00000         3                                    "mahalanobis"
0.00002        32   0.00000         0                                      "rowSums"
0.00002        32   0.00000         5                                        "is.data.frame"
