   tot%      tot#     self%     self#  function
0.00019         8   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "typeof"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "is.expression"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "=="
0.00019         8   0.00014         6  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "|"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "as.vector"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "!="
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all"
0.01083       455   0.00973       409  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.list"
0.01061       446   0.00026        11  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.00098        41   0.00036        15  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.character"
0.00033        14   0.00017         7  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "data.class"
0.00017         7   0.00007         3  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "typeof"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "is.name"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "=="
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "dim"
0.00029        12   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00007         3   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "typeof"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "|"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "!="
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "any"
0.00017         7   0.00007         3  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00007         3   0.00002         1  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "typeof"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "!="
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00105        44   0.00026        11  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00057        24   0.00017         7  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.character"
0.00026        11   0.00014         6  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00014         6   0.00005         2  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "is.name"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "typeof"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00014         6   0.00010         4  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "data.class"
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "length"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "!="
0.00010         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
